Application Name:	ZOOMA (Automatic Ontology Mapper)
Version:	2.0
Run at:	20:28.03, 13.06.20
Run from:	http://www.ebi.ac.uk/fgpt/zooma


PROPERTY TYPE	PROPERTY VALUE	ONTOLOGY TERM LABEL(S)	ONTOLOGY TERM SYNONYM(S)	CONFIDENCE	ONTOLOGY TERM(S)	ONTOLOGY(S)	SOURCE(S)	STUDY
[NO TYPE]	Diabetes-related co-morbidities/complications	cancer-related condition		Medium	MONDO_0045054	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes-related co-morbidities/complications (more excluded)	microvascular complications of diabetes, susceptibility		Medium	MONDO_0000065	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes-related co-morbidities/complications (more excluded)	cancer-related condition		Medium	MONDO_0045054	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Retinal photocoagulation	Retinal hemorrhage		Medium	HP_0000573	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Retinal photocoagulation	central retinal vein		Medium	UBERON_0001673	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Operations, diabetic retinopathy	diabetic retinopathy		Medium	EFO_0003770	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Operations, diabetic retinopathy	proliferative diabetic retinopathy		Medium	EFO_0009322	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Removal of vitreous/Extensive procedure in removing vitreous via pars plana/pars plicata	pars planitis		Medium	EFO_1001088	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Removal of vitreous/Extensive procedure in removing vitreous via pars plana/pars plicata	vitreous detachment		Medium	EFO_1001238	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body	vitreous prolapse		Medium	EFO_0008625	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body	vitreous body disease		Medium	EFO_0008624	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic hypoglycemia	diabetic foot		Good	EFO_1001459	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes 1 & 2, IBD co-morbidity	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes 1 & 2, IBD co-morbidity	autoimmune type 1 diabetes		Medium	EFO_0009756	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic ketoacidosis	diabetic ketoacidosis		Good	EFO_1000897	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, kidney failure	kidney failure		Good	EFO_1002048	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic maculopathy	type II diabetes mellitus, diabetic maculopathy	; 	Medium	EFO_0001360, EFO_0010133	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic maculopathy	type II diabetes mellitus		Medium	EFO_0001360	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic maculopathy	diabetic maculopathy		Medium	EFO_0010133	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic maculopathy	visual acuity measurement, type II diabetes mellitus, diabetic maculopathy	; ; 	Medium	EFO_0008385, EFO_0001360, EFO_0010133	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Neovascular glaucoma	neovascular glaucoma		Good	EFO_1001060	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy with related operations	diabetic nephropathy		Medium	EFO_0000401	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy with related operations	diabetic retinopathy		Medium	EFO_0003770	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy	type 2 diabetes nephropathy		Medium	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy	diabetic nephropathy		Medium	EFO_0000401	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy	type 2 diabetes nephropathy		Medium	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic nephropathy	diabetic nephropathy		Medium	EFO_0000401	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic neuropathy	diabetic neuropathy		Medium	EFO_1000783	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic neuropathy	type I diabetes mellitus, type II diabetes mellitus, neuropathy, diabetic foot	; ; ; 	Medium	EFO_0001359, EFO_0001360, EFO_0004149, EFO_1001459	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, opthalmic co-morbidities	diabetes mellitus		Good	EFO_0000400	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other diabetes, wide definition	other rare diabetes mellitus		Medium	MONDO_0015888	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other diabetes, wide definition	definition		Medium	IAO_0000115	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Peripheral atherosclerosis	atherosclerosis		Medium	EFO_0003914	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Peripheral atherosclerosis	cerebral atherosclerosis		Medium	EFO_1000860	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Proliferative diabetic retinopathy	proliferative diabetic retinopathy		High	EFO_0009322	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic retinopathy	diabetic retinopathy		Good	EFO_0003770	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetic retinopathy	diabetic retinopathy		Good	EFO_0003770	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Retinal vein occlusion (central or branch)	retinal vein occlusion, retinal artery occlusion	; 	Good	EFO_1001157, EFO_1001154	http://www.ebi.ac.uk/efo/, http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, several complications	microvascular complications of diabetes, susceptibility		Medium	MONDO_0000065	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, several complications	Maternal diabetes		Medium	HP_0009800	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)	platelet-type bleeding disorder 19		Medium	MONDO_0014518	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)	platelet-type bleeding disorder 18		Medium	MONDO_0014386	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Dipeptidyl peptidase 4 (DPP-4) inhibitors	OVCAR4		Good	EFO_0005442	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Dry age-related macular degeneration (includes geographic atrophy)	atrophic macular degeneration		Medium	EFO_1001492	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Dry age-related macular degeneration (includes geographic atrophy)	age-related macular degeneration		Medium	EFO_0001365	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Undefined dementia	Dementia		Medium	HP_0000726	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Undefined dementia	Genetic cerebrovascular dementia		Medium	Orphanet_371439	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other disorders of adrenal gland	adrenal gland disease		High	EFO_0005539	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of calcium metabolism	calcium metabolic disease		Good	EFO_0005769	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes mellitus	diabetes mellitus		High	EFO_0000400	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes	type II diabetes mellitus		High	EFO_0001360	http://www.ebi.ac.uk/efo/	http://www.genome.gov/gwastudies/	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with coma	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with coma	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with ketoacidosis	diabetic ketoacidosis		Medium	EFO_1000897	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with ketoacidosis	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with other specified/multiple/unspecified complications	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with other specified/multiple/unspecified complications	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with neurological complications	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with neurological complications	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes without complications	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes without complications	autoimmune type 1 diabetes		Medium	EFO_0009756	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with ophthalmic complications	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with ophthalmic complications	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with peripheral circulatory complications	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with peripheral circulatory complications	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes with renal complications	type I diabetes mellitus		Good	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes, strict (exclude DM2)	type 1 diabetes nephropathy		Medium	EFO_0004996	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 1 diabetes, strict (exclude DM2)	autoimmune type 1 diabetes		Medium	EFO_0009756	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes	type II diabetes mellitus		High	EFO_0001360	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with coma	type 2 diabetes nephropathy		Medium	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with coma	type II diabetes mellitus with acanthosis nigricans		Medium	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with ketoacidosis	diabetic ketoacidosis		Medium	EFO_1000897	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with ketoacidosis	type II diabetes mellitus with acanthosis nigricans		Medium	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with other specified/multiple/unspecified complications	type II diabetes mellitus with acanthosis nigricans		Medium	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with other specified/multiple/unspecified complications	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with neurological complications	type II diabetes mellitus with acanthosis nigricans		Medium	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with neurological complications	type 2 diabetes nephropathy		Medium	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes without complications	type 2 diabetes nephropathy		Good	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with ophthalmic complications	type II diabetes mellitus with acanthosis nigricans		Medium	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with ophthalmic complications	type 2 diabetes nephropathy		Medium	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with peripheral circulatory complications	type II diabetes mellitus with acanthosis nigricans		Medium	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with peripheral circulatory complications	type 2 diabetes nephropathy		Medium	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes with renal complications	type II diabetes mellitus with acanthosis nigricans		Good	EFO_1001503	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Type 2 diabetes, strict (exclude DM1)	type 2 diabetes nephropathy		Good	EFO_0004997	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8	microvascular complications of diabetes, susceptibility		Medium	MONDO_0000065	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8	Permanent neonatal diabetes mellitus		Medium	Orphanet_99885	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8, with coma	animal viral hepatitis		Medium	EFO_0007540	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8, with coma	type I diabetes mellitus		Medium	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8, with multiple/unspecified complications	type I diabetes mellitus		Good	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8, without complications	malaria		Good	EFO_0001068	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Diabetes, unspecified because of ICD-8, with other specified complications	glaucoma		Good	EFO_0000516	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified diabetes	diabetes mellitus		Good	EFO_0000400	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified diabetes with multiple/unspecified complications	type I diabetes mellitus		Good	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Unspecified diabetes without complications	type I diabetes mellitus		Good	EFO_0001359	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other endocrine disorders	endocrine system disease		High	EFO_0001379	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of other endocrine glands	endocrine system disease		Medium	EFO_0001379	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Disorders of other endocrine glands	glaucoma		Medium	EFO_0000516	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Postprocedural endocrine and metabolic disorders, not elsewhere classified	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Endocrine, nutritional and metabolic diseases	nutritional or metabolic disease		Good	MONDO_0024297	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other disorders of fluid, electrolyte and acid-base balance	Abnormality of metabolism/homeostasis		High	HP_0001939	http://purl.obolibrary.org/obo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other disorders of glucose regulation and pancreatic internal secretion	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Nontoxic diffuse goitre	goiter		Medium	EFO_0004283	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Nontoxic diffuse goitre	diffuse scleroderma		Medium	EFO_0000404	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Nontoxic multinodular goitre	multinodular goiter		Medium	MONDO_0000334	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Nontoxic multinodular goitre	Familial multinodular goiter		Medium	Orphanet_276399	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other and/or unspecified nontoxic goitre	respiratory system disease		Medium	EFO_0000684	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Other and/or unspecified nontoxic goitre	anthrax infection		Medium	EFO_0000778	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Nontoxic single thyroid nodule	thyroid nodule		Good	EFO_1001436	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Pure hypercholesterolaemia	pure tone hearing measurement		Good	EFO_0007617	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperkalaemia	Hyperkalemia		High	HP_0002153	http://purl.obolibrary.org/obo/	https://www.targetvalidation.org	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Mixed hyperlipidaemia	Combined hyperlipidemia		Good	Orphanet_79211	http://www.orpha.net/ORDO/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperlipidaemia, other/unspecified	anthrax infection		Medium	EFO_0000778	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperlipidaemia, other/unspecified	schizophrenia		Medium	EFO_0000692	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperparathyroidism	primary hyperparathyroidism		Medium	EFO_0008519	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperparathyroidism	Familial isolated hyperparathyroidism		Medium	Orphanet_99879	http://www.orpha.net/ORDO/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperfunction of pituitary gland	hyperpituitarism		High	EFO_1000973	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hyperprolactinaemia	Increased circulating prolactin concentration		High	HP_0000870	http://purl.obolibrary.org/obo/	https://www.targetvalidation.org	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypoglycaemia, other or unspecified	hyperinsulinemic hypoglycaemia		Medium	MONDO_0018619	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypoglycaemia, other or unspecified	Hypoglycemia		Medium	HP_0001943	http://purl.obolibrary.org/obo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypokalaemia	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypo-osmolality and hyponatraemia	N/A	N/A	Did not map	N/A	N/A	N/A	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypoparathyroidism	hypoparathyroidism		High	EFO_0009451	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypopituitarism	hypopituitarism		High	EFO_0001380	http://www.ebi.ac.uk/efo/	https://www.targetvalidation.org	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Hypothyroidism,other/unspecified	hypothyroidism		Good	EFO_0004705	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	Lactose intolerance, other/unspecified	lactose intolerance adult type		Medium	EFO_1000063	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
