"","id","sample.size","ncase","ncontrol","sex","category","subcategory","unit","group_name","build","consortium","year","population","trait","pmid","filename","nsnp","delimiter","header","mr","chr_col","pos_col","oa_col","ea_col","snp_col","pval_col","beta_col","se_col","eaf_col"
"303","finn-a-COPD_CVDMETABOCOMORB",79630,29327,50303,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD Co-morbidites, CVD and metabolic diseases",NA,"finngen_r2_COPD_CVDMETABOCOMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"304","finn-a-COPD_EARLY",68591,1231,67360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Early onset COPD",NA,"finngen_r2_COPD_EARLY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"305","finn-a-COPD_EARLYANDLATER",69621,2261,67360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD, early/later onset",NA,"finngen_r2_COPD_EARLYANDLATER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"306","finn-a-COPD_EARLYANDLATER_EXMORE",69621,2261,67360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD, early/later onset (more excluded)",NA,"finngen_r2_COPD_EARLYANDLATER_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"307","finn-a-COPD_EARLY_EXMORE",68591,1231,67360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Early onset COPD",NA,"finngen_r2_COPD_EARLY_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"308","finn-a-COPD_EXCL",96499,30819,65680,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD differential diagnosis",NA,"finngen_r2_COPD_EXCL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"309","finn-a-COPD_HOSPITAL",96499,2220,94279,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD, hospital admissions",NA,"finngen_r2_COPD_HOSPITAL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"310","finn-a-COPD_HOSPITAL1",96499,1618,94881,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD, hospital admissions 1",NA,"finngen_r2_COPD_HOSPITAL1.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"311","finn-a-COPD_HOSPITAL2",96499,1286,95213,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD, hospital admission 2",NA,"finngen_r2_COPD_HOSPITAL2.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"312","finn-a-COPD_HOSPITAL3",96499,1036,95463,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD, hospital admissions 3",NA,"finngen_r2_COPD_HOSPITAL3.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"313","finn-a-COPD_INSUFFICIENCY",96499,1635,94864,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD-related respiratory insufficiency",NA,"finngen_r2_COPD_INSUFFICIENCY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"314","finn-a-COPD_LATER",68390,1030,67360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Later onset COPD",NA,"finngen_r2_COPD_LATER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"315","finn-a-COPD_LATER_EXMORE",68390,1030,67360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Later onset COPD",NA,"finngen_r2_COPD_LATER_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"316","finn-a-COPD_MODE",68050,1832,66218,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD (mode)",NA,"finngen_r2_COPD_MODE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"317","finn-a-COPD_MULTIMORB",96499,1590,94909,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD related to multimorbidity",NA,"finngen_r2_COPD_MULTIMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"318","finn-a-COPD_OPPORTUNIST_INFECTIONS",96499,392,96107,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","COPD related to chronic (opportunist) infections",NA,"finngen_r2_COPD_OPPORTUNIST_INFECTIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"319","finn-a-COX_ARTHROSIS",82937,3862,79075,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Coxarthrosis [arthrosis of hip](FG)",NA,"finngen_r2_COX_ARTHROSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"320","finn-a-CPAP",54452,768,53684,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Continuous positive airway pressure",NA,"finngen_r2_CPAP.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"321","finn-a-CUSTOM_AMD",48826,1266,47560,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Wet or dry macular degeneration",NA,"finngen_r2_CUSTOM_AMD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"322","finn-a-CUSTOM_COLORECTAL_CANCER_EXALLC",96499,843,95656,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Colorectal cancer",NA,"finngen_r2_CUSTOM_COLORECTAL_CANCER_EXALLC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"323","finn-a-CUSTOM_K50_AND_KELA_NOT_K51",93814,190,93624,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Crohn disease (strict definition, all UC cases excluded)",NA,"finngen_r2_CUSTOM_K50_AND_KELA_NOT_K51.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"324","finn-a-CUSTOM_K51_AND_KELA_NOT_K50",94345,721,93624,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","CUSTOM_K51_AND_KELA_NOT_K50",NA,"finngen_r2_CUSTOM_K51_AND_KELA_NOT_K50.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"325","finn-a-CUSTOM_KELAIBD",94870,1246,93624,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","IBD patients in KELA-register",NA,"finngen_r2_CUSTOM_KELAIBD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"326","finn-a-C_DIFFICILE_ENTEROCOLITIS",96042,493,95549,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Enterocolitis due to Clostridium difficile",NA,"finngen_r2_C_DIFFICILE_ENTEROCOLITIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"327","finn-a-C_PSOR_ARTHR_COMORB",70857,17525,53332,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Psoriatic arthropathies related co-morbidities",NA,"finngen_r2_C_PSOR_ARTHR_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"328","finn-a-C_STROKE",82564,7144,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","STROKE",NA,"finngen_r2_C_STROKE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"329","finn-a-D1_ICD8",93702,230,93472,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","ICD-8 DM (Sub-endpoint used for defining DM endpoints)",NA,"finngen_r2_D1_ICD8.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"330","finn-a-D3_ACUTEPOSTBLEEDANAEMIA",94556,176,94380,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Acute posthaemorrhagic anaemia",NA,"finngen_r2_D3_ACUTEPOSTBLEEDANAEMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"331","finn-a-D3_AGRANULOCYTOSIS",96090,456,95634,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Agranulocytosis",NA,"finngen_r2_D3_AGRANULOCYTOSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"332","finn-a-D3_ALLERGPURPURA",95768,172,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Allergic purpura",NA,"finngen_r2_D3_ALLERGPURPURA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"333","finn-a-D3_ANAEMIA",37008,4272,32736,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Anaemias",NA,"finngen_r2_D3_ANAEMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"334","finn-a-D3_ANAEMIANAS",96295,1915,94380,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other and unspecified anaemias",NA,"finngen_r2_D3_ANAEMIANAS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"335","finn-a-D3_ANAEMIA_B12_DEF",94524,737,93787,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Vitamin B12 deficiency anaemia",NA,"finngen_r2_D3_ANAEMIA_B12_DEF.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"336","finn-a-D3_ANAEMIA_IRONDEF",95818,2031,93787,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Iron deficiency anaemia",NA,"finngen_r2_D3_ANAEMIA_IRONDEF.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"337","finn-a-D3_ANAEMIA_IRONDEF_BLOODLOSS",94625,838,93787,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Iron deficiency anaemia secondary to blood loss (chronic)",NA,"finngen_r2_D3_ANAEMIA_IRONDEF_BLOODLOSS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"338","finn-a-D3_ANAEMIA_IRONDEF_NAS",95151,1364,93787,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other and unspecified iron deficiency",NA,"finngen_r2_D3_ANAEMIA_IRONDEF_NAS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"339","finn-a-D3_APLASTICANDOTHANAEMIA",96499,2119,94380,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Aplastic and other anaemias",NA,"finngen_r2_D3_APLASTICANDOTHANAEMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"340","finn-a-D3_BLOOD",96499,6649,89850,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",NA,"finngen_r2_D3_BLOOD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"341","finn-a-D3_BLOODOTHER",96499,865,95634,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other diseases of blood and blood-forming organs",NA,"finngen_r2_D3_BLOODOTHER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"342","finn-a-D3_COAGDEFNAS",95782,186,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other and unspecified coagulation defects",NA,"finngen_r2_D3_COAGDEFNAS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"343","finn-a-D3_COAGDEF_PURPUR_HAEMORRHAGIC",96499,903,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Coagulation defects, purpura and other haemorrhagic conditions",NA,"finngen_r2_D3_COAGDEF_PURPUR_HAEMORRHAGIC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"344","finn-a-D3_COAGOTHER",95903,307,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other coagulation defects",NA,"finngen_r2_D3_COAGOTHER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"345","finn-a-D3_HAEMOLYTICANAEMIA",96499,139,96360,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Haemolytic anaemias",NA,"finngen_r2_D3_HAEMOLYTICANAEMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"346","finn-a-D3_IMMUDEF",96499,214,96285,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Immunodeficiencies",NA,"finngen_r2_D3_IMMUDEF.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"347","finn-a-D3_IMMUNEMECHANISM",96499,1032,95467,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Certain disorders involving the immune mechanism",NA,"finngen_r2_D3_IMMUNEMECHANISM.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"348","finn-a-D3_ITP",95749,153,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Idiopathic thrombocytopenic purpura",NA,"finngen_r2_D3_ITP.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"349","finn-a-D3_NUTRIANAEMIA",96499,2712,93787,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Nutritional anaemias",NA,"finngen_r2_D3_NUTRIANAEMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"350","finn-a-D3_OTHERANAEMIA",96317,1937,94380,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other anaemias",NA,"finngen_r2_D3_OTHERANAEMIA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"351","finn-a-D3_OTHERBLOOD",95801,167,95634,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Oher diseases of blood and blood-forming organs",NA,"finngen_r2_D3_OTHERBLOOD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"352","finn-a-D3_OTHERWHITECELL",95851,217,95634,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other disorders of white blood cells",NA,"finngen_r2_D3_OTHERWHITECELL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"353","finn-a-D3_PURPURA_AND3_OTHER_HAEMORRHAGIC",96185,589,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Purpura and other haemorrhagic conditions",NA,"finngen_r2_D3_PURPURA_AND3_OTHER_HAEMORRHAGIC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"354","finn-a-D3_SARCOIDOSIS",96200,733,95467,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Sarcoidosis",NA,"finngen_r2_D3_SARCOIDOSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"355","finn-a-D3_THROMBOCYTOPENIANAS",95869,273,95596,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Thrombocytopenia, unspecified",NA,"finngen_r2_D3_THROMBOCYTOPENIANAS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"356","finn-a-D3_WHITEBLOODCELLNAS",95786,152,95634,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other and unspecified disorders of white blood cells",NA,"finngen_r2_D3_WHITEBLOODCELLNAS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"357","finn-a-DEATH",96499,7249,89250,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","",NA,"finngen_r2_DEATH.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"358","finn-a-DIABETES_FG",96499,14118,82381,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes, varying definitions",NA,"finngen_r2_DIABETES_FG.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"359","finn-a-DIAB_MED",96477,12788,83689,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes medication",NA,"finngen_r2_DIAB_MED.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"360","finn-a-DIAB_MED_OTHER",94466,10755,83711,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other (not insulin) diabetes medications",NA,"finngen_r2_DIAB_MED_OTHER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"361","finn-a-DIALYSIS",95124,252,94872,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Dialysis",NA,"finngen_r2_DIALYSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"362","finn-a-DM_BCKGRND_RETINA",91738,865,90873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Background diabetic retinopathy",NA,"finngen_r2_DM_BCKGRND_RETINA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"363","finn-a-DM_COMORB",96499,21079,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes-related co-morbidities/complications",NA,"finngen_r2_DM_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"364","finn-a-DM_COMORB_EXMORE",90317,21079,69238,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes-related co-morbidities/complications (more excluded)",NA,"finngen_r2_DM_COMORB_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"365","finn-a-DM_EYE_OEPR_RETINAL_PHOTOCOAGULATION",13520,506,13014,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Retinal photocoagulation",NA,"finngen_r2_DM_EYE_OEPR_RETINAL_PHOTOCOAGULATION.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"366","finn-a-DM_EYE_OPER",12029,1104,10925,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Operations, diabetic retinopathy",NA,"finngen_r2_DM_EYE_OPER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"367","finn-a-DM_EYE_OPER_REMOVAL_VITR_VIAPARSPLIC",13280,266,13014,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Removal of vitreous/Extensive procedure in removing vitreous via pars plana/pars plicata",NA,"finngen_r2_DM_EYE_OPER_REMOVAL_VITR_VIAPARSPLIC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"368","finn-a-DM_EYE_OPER_VEGF_INJECT_VITR",95732,823,94909,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Injection of anti-VEGF-antibody or corticosteroid or any drug into vitreous body",NA,"finngen_r2_DM_EYE_OPER_VEGF_INJECT_VITR.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"369","finn-a-DM_HYPOGLYC",76977,1557,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic hypoglycemia",NA,"finngen_r2_DM_HYPOGLYC.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"370","finn-a-DM_IBD",45784,13642,32142,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes 1 & 2, IBD co-morbidity",NA,"finngen_r2_DM_IBD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"371","finn-a-DM_KETOACIDOSIS",77672,2252,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic ketoacidosis",NA,"finngen_r2_DM_KETOACIDOSIS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"372","finn-a-DM_KIDNEYFAIL",96253,729,95524,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes, kidney failure",NA,"finngen_r2_DM_KIDNEYFAIL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"373","finn-a-DM_MACULOPATHY",94432,719,93713,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic maculopathy",NA,"finngen_r2_DM_MACULOPATHY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"374","finn-a-DM_NEOVASCULAR_GLAUCOMA",91086,213,90873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Neovascular glaucoma",NA,"finngen_r2_DM_NEOVASCULAR_GLAUCOMA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"375","finn-a-DM_NEPHORAPATHY_OPER",75735,315,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic nephropathy with related operations",NA,"finngen_r2_DM_NEPHORAPATHY_OPER.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"376","finn-a-DM_NEPHROPATHY",94498,975,93523,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic nephropathy",NA,"finngen_r2_DM_NEPHROPATHY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"377","finn-a-DM_NEPHROPATHY_EXMORE",83189,975,82214,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic nephropathy",NA,"finngen_r2_DM_NEPHROPATHY_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"378","finn-a-DM_NEUROPATHY",76009,589,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic neuropathy",NA,"finngen_r2_DM_NEUROPATHY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"379","finn-a-DM_OPTHALMIC_COMORB",11109,184,10925,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes, opthalmic co-morbidities",NA,"finngen_r2_DM_OPTHALMIC_COMORB.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"380","finn-a-DM_OTHER_WIDE",93182,12317,80865,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other diabetes, wide definition",NA,"finngen_r2_DM_OTHER_WIDE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"381","finn-a-DM_PERIPHATHERO",77601,2181,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Peripheral atherosclerosis",NA,"finngen_r2_DM_PERIPHATHERO.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"382","finn-a-DM_RETINA_PROLIF",94367,3494,90873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Proliferative diabetic retinopathy",NA,"finngen_r2_DM_RETINA_PROLIF.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"383","finn-a-DM_RETINOPATHY",95752,5626,90126,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic retinopathy",NA,"finngen_r2_DM_RETINOPATHY.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"384","finn-a-DM_RETINOPATHY_EXMORE",85574,5626,79948,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetic retinopathy",NA,"finngen_r2_DM_RETINOPATHY_EXMORE.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"385","finn-a-DM_RET_VEIN_OCCLU",14060,126,13934,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Retinal vein occlusion (central or branch)",NA,"finngen_r2_DM_RET_VEIN_OCCLU.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"386","finn-a-DM_SEVERAL_COMPLICATIONS",77927,2507,75420,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes, several complications",NA,"finngen_r2_DM_SEVERAL_COMPLICATIONS.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"387","finn-a-DM_VITREOUS_BLEEDING",91372,499,90873,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Vitreous bleeding (caused by prolif. dmrp when together with H36.03*)",NA,"finngen_r2_DM_VITREOUS_BLEEDING.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"388","finn-a-DPP4INH",86461,717,85744,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Dipeptidyl peptidase 4 (DPP-4) inhibitors",NA,"finngen_r2_DPP4INH.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"389","finn-a-DRY_AMD",48694,860,47834,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Dry age-related macular degeneration (includes geographic atrophy)",NA,"finngen_r2_DRY_AMD.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"390","finn-a-Dementia_U",96499,894,95605,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Undefined dementia",NA,"finngen_r2_Dementia_U.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"391","finn-a-E4_ADRENAL",94054,138,93916,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Other disorders of adrenal gland",NA,"finngen_r2_E4_ADRENAL.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"392","finn-a-E4_CA_MET",96434,216,96218,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Disorders of calcium metabolism",NA,"finngen_r2_E4_CA_MET.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"393","finn-a-E4_DIABETES",96499,13844,82655,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Diabetes mellitus",NA,"finngen_r2_E4_DIABETES.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"394","finn-a-E4_DM1",85291,2636,82655,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Type 1 diabetes",NA,"finngen_r2_E4_DM1.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
"395","finn-a-E4_DM1COMA",94426,563,93863,"Males and females","Binary",NA,"logOR","public","HG19/GRCh37","FinnGen",2020,"European","Type 1 diabetes with coma",NA,"finngen_r2_E4_DM1COMA.gz",16152119,"tab",TRUE,1,0,1,2,3,4,6,7,8,9
